                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3478,                 1.2945,                 1.6849,                0.88514,                0.81366,                0.90035,                0.53808,                 1.3859,                 1.0075,                 1.7954,              0.0006659,              0.0006659,              0.0006659
                      2,                 1.4015,                 1.2696,                 1.6844,                0.82487,                0.77433,                0.84276,                0.43283,                 1.5611,                 1.0637,                   1.96,              0.0013192,              0.0013192,              0.0013192
                      3,                 1.3432,                 1.1732,                 1.6599,                0.77868,                0.80858,                0.83989,                0.46424,                 1.3951,                 1.0963,                  1.766,              0.0019592,              0.0019592,              0.0019592
                      4,                  1.247,                 1.0464,                 1.5656,                0.92583,                0.90456,                0.94964,                0.58516,                 1.2185,                 0.7538,                 1.5609,                0.00194,                0.00194,                0.00194
                      5,                 1.1952,                0.97734,                 1.5392,                0.92484,                 0.8916,                0.93576,                0.60607,                 1.1819,                0.71986,                 1.5169,                0.00192,                0.00192,                0.00192
                      6,                 1.1573,                0.92045,                 1.5097,                0.95775,                0.89165,                0.95134,                0.64509,                 1.0813,                0.67009,                 1.4588,                 0.0019,                 0.0019,                 0.0019
                      7,                 1.1326,                0.86852,                 1.4887,                0.93604,                0.90683,                0.96157,                0.65165,                 1.0289,                0.65091,                 1.4289,                0.00188,                0.00188,                0.00188
                      8,                 1.0912,                0.82809,                 1.4618,                0.95104,                0.90683,                0.96033,                0.65976,                 1.0788,                0.61116,                  1.452,                0.00186,                0.00186,                0.00186
                      9,                 1.0806,                0.80132,                 1.4534,                0.93531,                0.92754,                0.96183,                0.61794,                  1.104,                0.63396,                  1.472,                0.00184,                0.00184,                0.00184
                     10,                 1.0507,                0.75048,                 1.4247,                0.94495,                 0.9441,                0.96922,                0.66809,                 1.0198,                0.56001,                 1.3831,                0.00182,                0.00182,                0.00182
                     11,                 1.0276,                0.74183,                 1.4132,                0.95625,                0.95445,                0.97843,                0.67767,                 1.0046,                 0.5265,                 1.3888,                 0.0018,                 0.0018,                 0.0018
                     12,                 1.0208,                0.72701,                 1.4014,                0.94795,                0.94264,                0.97146,                0.68526,                0.96607,                0.52057,                 1.3441,                0.00178,                0.00178,                0.00178
                     13,                 1.0037,                0.72205,                 1.3948,                0.96783,                0.91511,                0.96497,                0.68227,                 1.0013,                0.52318,                  1.368,                0.00176,                0.00176,                0.00176
                     14,                0.98926,                0.68957,                 1.3794,                0.94305,                0.95031,                0.96979,                0.69285,                0.95144,                0.48101,                 1.3136,                0.00174,                0.00174,                0.00174
                     15,                0.98417,                0.68121,                  1.372,                0.96235,                0.95445,                0.96606,                0.69148,                0.97408,                0.51733,                 1.3357,                0.00172,                0.00172,                0.00172
                     16,                0.95369,                0.66151,                 1.3577,                0.94495,                0.95238,                0.97224,                0.68379,                0.98224,                0.48868,                 1.3544,                 0.0017,                 0.0017,                 0.0017
                     17,                0.94662,                0.64406,                 1.3441,                0.96161,                0.93789,                0.97136,                0.69384,                0.97654,                 0.5062,                 1.3378,                0.00168,                0.00168,                0.00168
